Observers ID: KZR004ZONE0.1D_FOUR
Observers Age: 23
Observers Gender: M
Observers Prescription: 0.00
Observers IOD: 55 mm
--------------------------------------------------------------
condition: 0.100
--------------------------------------------------------------
Trial	FocalDistance	VergenceAngle	TargetDistance	FarBlend	midBlend	NearBlend	Depthdifference(arcSec)	Distance	StereoAcuity(CPD)	conflict	Orientation	buttonResponse	Correct	Reversal?
1	0.10	0.315	0.100	1.000	0.000	0.000	20.000	-1.000	1.000	-0.000	15	15	1	0
2	0.10	0.315	0.100	1.000	0.000	0.000	20.000	1.000	1.000	-0.000	-15	-15	1	0
3	0.10	0.315	0.100	1.000	0.000	0.000	20.000	1.000	1.000	-0.000	15	15	1	0
4	0.10	0.630	0.200	1.000	0.000	0.000	20.000	1.000	1.000	0.100	15	15	1	0
5	0.10	0.315	0.100	1.000	0.000	0.000	20.000	-1.000	1.000	-0.000	15	15	1	0
6	0.10	0.630	0.200	1.000	0.000	0.000	20.000	1.000	1.000	0.100	15	15	1	0
7	0.10	0.000	0.000	1.000	0.000	0.000	20.000	-1.000	1.000	-0.100	15	15	1	0
8	0.10	0.000	0.000	1.000	0.000	0.000	20.000	-1.000	1.000	-0.100	-15	-15	1	0
9	0.10	0.945	0.300	1.000	0.000	0.000	20.000	1.000	1.000	0.200	15	15	1	0
10	0.10	-0.315	-0.100	1.000	0.000	0.000	20.000	-1.000	1.000	-0.200	-15	-15	1	0
11	0.10	0.945	0.300	1.000	0.000	0.000	20.000	1.000	1.000	0.200	-15	-15	1	0
12	0.10	-0.315	-0.100	1.000	0.000	0.000	20.000	-1.000	1.000	-0.200	15	15	1	0
13	0.10	1.261	0.400	1.000	0.000	0.000	20.000	1.000	1.000	0.300	15	15	1	0
14	0.10	1.261	0.400	1.000	0.000	0.000	20.000	1.000	1.000	0.300	15	15	1	0
15	0.10	1.576	0.500	1.000	0.000	0.000	20.000	1.000	1.000	0.400	-15	-15	1	0
16	0.10	1.576	0.500	1.000	0.000	0.000	20.000	1.000	1.000	0.400	15	15	1	0
17	0.10	-0.630	-0.200	1.000	0.000	0.000	20.000	-1.000	1.000	-0.300	15	15	1	0
18	0.10	-0.630	-0.200	1.000	0.000	0.000	20.000	-1.000	1.000	-0.300	-15	15	0	1
19	0.10	-0.315	-0.100	1.000	0.000	0.000	20.000	-1.000	1.000	-0.200	15	15	1	0
20	0.10	-0.315	-0.100	1.000	0.000	0.000	20.000	-1.000	1.000	-0.200	-15	-15	1	1
21	0.10	1.891	0.600	1.000	0.000	0.000	20.000	1.000	1.000	0.500	15	15	1	0
22	0.10	-0.630	-0.200	1.000	0.000	0.000	20.000	-1.000	1.000	-0.300	-15	15	0	1
23	0.10	-0.315	-0.100	1.000	0.000	0.000	20.000	-1.000	1.000	-0.200	15	15	1	0
24	0.10	1.891	0.600	1.000	0.000	0.000	20.000	1.000	1.000	0.500	-15	15	0	1
25	0.10	1.576	0.500	1.000	0.000	0.000	20.000	1.000	1.000	0.400	-15	-15	1	0
26	0.10	-0.315	-0.100	1.000	0.000	0.000	20.000	-1.000	1.000	-0.200	-15	-15	1	1
27	0.10	1.576	0.500	1.000	0.000	0.000	20.000	1.000	1.000	0.400	15	-15	0	0
28	0.10	-0.630	-0.200	1.000	0.000	0.000	20.000	-1.000	1.000	-0.300	-15	-15	1	0
29	0.10	1.261	0.400	1.000	0.000	0.000	20.000	1.000	1.000	0.300	-15	-15	1	0
30	0.10	-0.630	-0.200	1.000	0.000	0.000	20.000	-1.000	1.000	-0.300	15	15	1	0
31	0.10	-0.788	-0.250	1.000	0.000	0.000	20.000	-1.000	1.000	-0.350	15	15	1	0
32	0.10	-0.788	-0.250	1.000	0.000	0.000	20.000	-1.000	1.000	-0.350	15	15	1	0
33	0.10	-0.945	-0.300	1.000	0.000	0.000	20.000	-1.000	1.000	-0.400	15	15	1	0
34	0.10	-0.945	-0.300	1.000	0.000	0.000	20.000	-1.000	1.000	-0.400	-15	15	0	1
35	0.10	-0.788	-0.250	1.000	0.000	0.000	20.000	-1.000	1.000	-0.350	-15	15	0	0
36	0.10	1.261	0.400	1.000	0.000	0.000	20.000	1.000	1.000	0.300	-15	-15	1	1
37	0.10	-0.630	-0.200	1.000	0.000	0.000	20.000	-1.000	1.000	-0.300	-15	-15	1	0
38	0.10	1.576	0.500	1.000	0.000	0.000	20.000	1.000	1.000	0.400	-15	-15	1	0
39	0.10	1.576	0.500	1.000	0.000	0.000	20.000	1.000	1.000	0.400	15	15	1	0
40	0.10	-0.630	-0.200	1.000	0.000	0.000	20.000	-1.000	1.000	-0.300	-15	15	0	0
41	0.10	-0.473	-0.150	1.000	0.000	0.000	20.000	-1.000	1.000	-0.250	-15	-15	1	0
42	0.10	-0.473	-0.150	1.000	0.000	0.000	20.000	-1.000	1.000	-0.250	15	15	1	1
43	0.10	-0.630	-0.200	1.000	0.000	0.000	20.000	-1.000	1.000	-0.300	-15	15	0	1
44	0.10	1.891	0.600	1.000	0.000	0.000	20.000	1.000	1.000	0.500	15	15	1	0
45	0.10	-0.473	-0.150	1.000	0.000	0.000	20.000	-1.000	1.000	-0.250	-15	-15	1	0
46	0.10	1.891	0.600	1.000	0.000	0.000	20.000	1.000	1.000	0.500	15	15	1	0
47	0.10	2.206	0.700	1.000	0.000	0.000	20.000	1.000	1.000	0.600	-15	-15	1	0
48	0.10	2.206	0.700	1.000	0.000	0.000	20.000	1.000	1.000	0.600	-15	15	0	1
